"id","name"
"OCT31aikrNfmAskqagcs01","CDS CROIX ROUGE"
"OCT31aikrNfmAskqagcs06","GITWA"
"OCT31aikrNfmAskqagcs07","SITE GIHINGA"
"OCT31eUT6sqWNvnshCBA01","GAKOBE"
"TXBo8D8X4SwmwnmKYxAmyr","MUGEREGERE"
"KMtNU6kffz7cj9L4ott9N3","SFD_CDS Croix Rouge"
"KNVmrxNugg2EoSfRbrXX3f","KANAMA"
"DahtFWHFwSqzrjXgGfd8Xz","NYARUNAZI"
"KwXMHADTiy9ar9dTd7C38J","KIVOGA"
"iaSLj8GJUcKP8T5Hcy4sEW","NAMA"
"8U6d7okVRq6Bj3fTeud6pM","KINGA"
"nSsr3Zun9qkdV25McNhMJV","MUSOVU"
"XS2wLjBTEwWxLw5ZPaBUQv","NYAMBEHO"
"XRtfzrKZjuMdYdeW6wCu64","3eAVENUE"
"QLF9hMrKuQkKo8de6x9No5","RUGOGWE"
"DjMMDPi9zHJzWtSpy49EM8","RWINTARE"
"CXsTGLDzdkh27AEmUZYxRi","MUREMERA"
"7hjVhsDsZtgvj7x3rYmhZm","CELLULE 1"
"ndxqLhq3T8MGy3z5Z9FeVu","GASHUBI"
"LbEN5po4NffevBwnoriikK","BUTURO"
"SgPsoVwxJmGVfQmaM5rcNU","6e AVENUE"
"NKHaZCDokXfdXSud5GjrQ2","8e AVENUE"
"MYipPQZddHegKNHgyZuDmn","5e AVENUE"
"eUdH825en5Ty8nro8k3PUL","Q GISHA"
"4iXXLVGLzT2X8qA3vkzjGJ","CDS MUTAKURA"
"keoaxznRr7MVvBTkULVnEn","MURAMBI"
"kgGxrGrZQ2gbAjq3oYZdRz","GITIGITA"
"kiB2jeGb82B3v7W82WTy4r","Nyarurama"
"bzpzdEJUAmUUbXrtcprXMw","Bugarama"
"3KyKieDudbSmpNbi5HFzDa","RUSAMAZA"
"Yin4VrjgWExd5wWBdXGMNi","CDS RUGEYO"
"hUu4Rcu9R4STXJFsWZNJD4","KIMPOTERA"
"U9gSFrqdjGcS4jgbjDxxwS","MIGEZI"
"9BMkPWobiQxPjPdvLzoCPJ","CDS MUHUNGU"
"a3yEJE3MqcU4CXaeEyzu3m","Shorero"
"RSXBfdDEK4w5NSG2xUgb9d","Karugembe I"
"dqVmewPGES8B7gwFMvtQmt","Camazi"
"DbsQCcRJoReyzHxAkJyQGE","KIREHE"
"Dex7afans8BJumHTbXB5WD","Kaburire"
"JbobiS4VQT4L3hNEHGKQ8n","NYAKIVUMU"
"QncBomW9cgGMz7kX623QbG","SFD_CDS RUDARAZA"
"NOV19aikrNfmAskqagcs01","SFD_ECOFO KIGUTU"
"OCT31Qx42WNUHTyris7201","MUDATURWA"
"OCT31St6CPYo4W7D3LQg01","Mwaro"
"OCT31St6CPYo4W7D3LQg02","Shegera"
"OCT31aikrNfmAskqagcs02","SFD_CDS CROIX ROUGE"
"OCT31aikrNfmAskqagcs03","GATOVU"
"OCT31aikrNfmAskqagcs04","RUGENGE"
"OCT31aikrNfmAskqagcs05","NYAKAGORO"
"OCT31eqLLGCMshVApAnw01","NYAMUGARI"
"5cHBbfJgqojHfMh3bhPQqe","MINYARE"
"njY3hTauab8vCxpPVBYRUU","NYARUSANGE"
"FAGzHdxbZBvr2pXdNAwfYH","CELLULE9"
"SZfnAqigDrxFfPdbRMtFLw","NYAGATOVU"
"XEGNGCGwTab8RJ3RenUeXE","TR3 BUMBIRI II"
"EiS9RLVqtFibPu6ocsErTy","NYAGASOZI"
"Zs3R4xDgvJViVZaTJhXrev","SFD_ECOFO RUSHERI"
"OCT31zNSxhCvprDgaYz201","MUHORORO"
"SA7QqrraMDngaEoTcDwXTd","RUHANDE"
"JZxCezrG3sV8F6bRpPKKmH","9 e AVENUE"
"c9VNL3m9pLkrjkoETZZJ3p","NDORE"
"3rSZc7z79n5kR6CpJCCi4o","SFD_ECOLE LE GERME"
"92RP4p7Y95of22khjnq88A","KIGWATI I"
"NEtE2oNZYFSk8qHKuFSgys","SFD_ECOFO RUBIRA"
"ELecXqktc9xFT58pXTScrF","RUTUMVA"
"3uEVp3kXM3BQ2bANTb3cM2","GATARE"
"kxXcTBHyShtRWLHDj7c4yj","GITURA"
"fHiUU796i9rApALMwWob2A","15e AVENUE"
"FSobvBzpaD2dEZpvYjyZA9","SFD_CDS MUYANGE (NTAHANGWA)"
"SAwn4upWXoDaCYRG7yLDfB","NYAMITWENZI"
"LC86CopiEYZRE6zUc7nhwy","Ruyigi"
"hyYdCuWXucD5THDYCgB5ED","MURAMA"
"UmKi4SD4VBhknYHHDfp5XW","SFD_CENTRE DE FORMATION PROFESSIONNELLE DE KARURAMA"
"8XHUHYEpXMdtqvtuGJgCQY","GATSI"
"BV7xm4aiRQWnRryfRgZbbh","SFD_SHIFAA"
"fBgBCRgRaTS9859zdNmBAo","GAKOMBE"
"fCVjE6NfnVAwaKJP78XpKx","RUTONGATI"
"ZcHyWJ7pAqouVhZGUL2xrU","KASHWI"
"H8zoph2vdTfBRCCuHyCdzp","Musugi"
"QYRHP4zbjV8xh9LMACQNQk","GATWA"
"3HYSkpE3tJozTDiLJbLQfz","NYAMWERU"
"HpDD6LGugCPJMvh426kq2S","CDS BUHURIKA"
"2A7FG4xFfhFcSFMfsnSoTA","NDATWA I"
"XGisqcYJhwWkGQdcAdyoGE","KIGOBE"
"jPtehSXvFgugL3ffKV4VoS","SFD_ECOFO SOROREZO"
"LdF5qKUW2B4STXbBDR5JxK","SFD_EPA NYAKABIGA"
"DevVDxT7mQkqkxUGzYTLm4","WANTEKO"
"AL7skTqBQwxPjsPtnCqAmZ","Nyange"
"UVwnM6744UXPFEB44Z7ELz","MUGANO"
"XGbAmfDfte4cmXTUu7XwLk","8e AVENUE"
"WifMG2T5ZYejTnMTWLTaJ7","KANYARI"
"PUQMLiduN6binQ5ZhyueoF","BUNIHA"
"PYjXbZnLL4DfyzyQa9ZwHM","NZOZI"
"PZXZ7zRdiTeozzM72DA2mu","RUREMBO"
"PZsAo28uYpyFEtVmUAHvSg","MUBUGA"
"PochmiMXQxtC6j55M4M4iu","TABA"
"PvoTUhKAjEn3b7ZPkFRhsA","MAKABA"
"b45btEgCtsTYmG3rgTNdWV","RUKINGU"
"Q2i3adMS8ieNkoX79HC6Pe","RUHENGERI"
"Q3uKbRHFLbf5Y4vuRP9KV9","RUGEGA"
"Q5KS6pzN8mn6WTCpyiDMPc","KANSI"
"DLcxim6HqmjCHDKCv5ykqu","RUGARURA"
"SNHYaFkPqept5nqNqm6de4","CDS MWUMBA (MATANA)"
"jRYNk2DRh3qXM7CMA9fZMX","RUBUYE III B"
"LdFQZFvMqJ6pnfXgeG5JjV","MBUYE"
"53C49QWQaAjESsZguXwoou","GISUMA"
"Y6zWawskbDKUYXay893xAq","NYARUSANGE"
"WHGfB4jaUxkiF2r3uFwioc","TARA II"
"JjbhQrKDFHqMkGWb3K9beX","CDS RWISABI"
"ivLQhkifZMcwBDoXzbSjdJ","MATABA"
"BVCSTX4yNQHRtTQXEJvVXT","Gisagara"
"97ww9c5T7oQGcv8NuumRkN","CURIZA"
"B4ZBLk5YpyQzNqDBrL5Tof","ISARE"
"KqRPCsf8Uum3NpMg3kddFp","NYANZA"
"ejuYmEnMC3S72bmdjkr7xN","CDS RUKURAMIGABO"
"iwqpsfMbLfYvfTuiP5Vxa7","SFD_Centre d'Enseignement des Metiers de Gihanga"
"YdHh47sZ7YErxC9A5N2Dmt","RUGENGE"
"JjST6kbDN3z95JUkZWYGLB","NYAKIVUMU"
"BV9ZtSSKbG6SBoaANqNoUS","Gatohwe"
"krrpspiANGhnrhZ2PQCusZ","SFD_ECOFO MUREMERA I"
"DxjMBiTmZyFQrYtUs6pZnM","4eme AVENUE"
"Dkzj4BhpnEdPti3oti9UEi","KIYANGE-KANABUGIRI"
"ioHB5aayCDqEEJx9PQtd4g","KIREHE"
"ipuf8izafUiSGQmcNzxEwe","CDS GASENYI"
"bK9mewxcL7e4aHydGo5tK4","NYAMIYAGA"
"inC8o5jFTPBoCQzHTxPSkP","MATORE"
"Qm7cNhrNQ76SAMNRXWzt3f","NYARUHOMBO"
"nxNXsWp3BKp9dvBuEREdNq","RUHEMBE I"
"ECkjrwMsDGMedPY4n5chik","RUSHIHA"
"W6VvzQbAHUUg3JpyBvgZs2","BUHANDA"
"WVjShwSJ5EE9GtNGpeKM4v","KIGARAMA"
"bLcuD4GCA684jgbtetPPSi","MUNAZI"
"W9CoAK55VeoLbJNLdmKcMq","GISHINGWE II"
"W9z2MHnePwgvYYUeWiFZDM","CDS KAYONGOZI"
"WAx3aRL8NbQySBeVUUHxYp","CDS NYANKANDA"
